#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
70,,,3071.507813,3090.330811,0.993909061,934.4000244,951.2999878,0.982234836,2728.056396,2732.387207,0.998414934,590.9486694,593.3565674,0.995941877,2287.697998,2351.641602,0.972809017,150.5904236,212.610733,0.708291709
71,,,3053.969238,3090.330811,0.988233745,913.9077148,951.2999878,0.960693479,2701.126709,2732.387207,0.988559246,561.0652466,593.3565674,0.945578516,2281.811279,2351.641602,0.970305741,141.7497864,212.610733,0.666710377
72,,,3041.846191,3090.330811,0.984310865,905.1692505,951.2999878,0.951507628,2687.661865,2732.387207,0.983631372,550.9850464,593.3565674,0.928590119,2367.39624,2351.641602,1.006699443,230.7192993,212.610733,1.085172415
73,,,3028.369141,3090.330811,0.979949892,893.2922974,951.2999878,0.93902272,2680.281738,2732.387207,0.980930388,545.2047729,593.3565674,0.918848455,2442.3396,2351.641602,1.03856802,307.2626953,212.610733,1.445188999
74,,,3018.707764,3090.330811,0.976823509,881.4769287,951.2999878,0.926602483,2669.52124,2732.387207,0.97699219,532.2903442,593.3565674,0.897083461,2406.943359,2351.641602,1.023516297,269.712616,212.610733,1.268574834
75,,,3010.215332,3090.330811,0.974075437,869.5999756,951.2999878,0.914117515,2665.633789,2732.387207,0.975569546,525.0184326,593.3565674,0.884827852,2372.075439,2351.641602,1.008689284,231.460083,212.610733,1.088656664
76,,,3009.907715,3090.330811,0.973975897,875.2000122,951.2999878,0.920004189,2657.859131,2732.387207,0.97272414,523.1514893,593.3565674,0.881681442,2336.679199,2351.641602,0.993637502,201.9715576,212.610733,0.949959338
77,,,2995.876953,3090.330811,0.969435692,855.5692139,951.2999878,0.899368465,2660.450684,2732.387207,0.973672628,520.1430054,593.3565674,0.876611233,2324.754639,2351.641602,0.988566816,184.4470215,212.610733,0.867533922
78,,,2985.107666,3090.330811,0.965950847,848.4307861,951.2999878,0.891864598,2664.450684,2732.387207,0.975136518,527.7738037,593.3565674,0.889471591,2314.86792,2351.641602,0.984362602,178.1909943,212.610733,0.838109136
79,,,3311.199951,3090.330811,1.071471095,1178.276978,951.2999878,1.238596559,2906.535156,2732.387207,1.063734651,773.6121216,593.3565674,1.303789616,2310.415039,2351.641602,0.982469082,177.4920197,212.610733,0.834821522
80,,,3488.476807,3090.330811,1.128836155,1347.246094,951.2999878,1.416215897,3018.422607,2732.387207,1.10468328,877.1917725,593.3565674,1.478355289,2302.26416,2351.641602,0.979003012,161.0333862,212.610733,0.757409453
81,,,3527.322998,3090.330811,1.141406298,1392.430786,951.2999878,1.463713646,3080,2732.387207,1.127219439,945.107666,593.3565674,1.592815757,2287.094238,2351.641602,0.972552299,152.2020264,212.610733,0.715871811
82,,,3509.976807,3090.330811,1.135793328,1373.669189,951.2999878,1.443991661,3118.47876,2732.387207,1.14130187,982.1712036,593.3565674,1.655279875,2288,2351.641602,0.972937405,151.6923065,212.610733,0.713474333
83,,,3477.615479,3090.330811,1.125321388,1341.861572,951.2999878,1.410555601,3134.98584,2732.387207,1.147343159,999.2320557,593.3565674,1.684033036,2305.509521,2351.641602,0.980383039,169.7555847,212.610733,0.798433721
84,,,3427.830811,3090.330811,1.109211564,1291.892334,951.2999878,1.358028293,3113.070313,2732.387207,1.139322519,977.131958,593.3565674,1.646787167,2415.47168,2351.641602,1.027142882,279.5332336,212.610733,1.314765334
85,,,3330.246094,3090.330811,1.077634215,1186.984619,951.2999878,1.247750044,3035.661865,2732.387207,1.110992551,892.4004517,593.3565674,1.503986835,2431.547119,2351.641602,1.033978701,288.2856445,212.610733,1.35593164
